TT=72,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.000000e-001
TT=73,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.000000e-001
TT=74,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.000000e-001
TT=75,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.000000e-001
TT=76,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=77,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=78,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=79,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=80,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=81,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=82,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=83,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=84,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=85,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=86,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=87,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=88,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=89,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=90,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=91,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=92,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=93,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=94,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=95,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=96,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.166667e-001
TT=97,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=98,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=99,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=100,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=101,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=102,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=103,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=104,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=105,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=106,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=107,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=108,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=109,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=110,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=111,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=112,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=113,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=114,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=115,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=116,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=117,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=118,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=119,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=120,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=121,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=122,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=123,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=124,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=125,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=126,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=127,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=128,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.333333e-001
TT=129,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=130,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=131,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=132,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=133,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=134,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=135,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=136,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=137,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=138,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=139,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=140,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=141,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=142,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=143,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=144,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=145,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=146,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
TT=147,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.500000e-001
